split_name,split_file,seed,model,input_mode,run_tag,sequence_length,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall,epochs_ran,best_val_macro_f1,parameter_count,train_time_sec,inference_time_ms_per_sample,prediction_path,checkpoint,evidence_status
cross_condition,mcc5_postfix_cross_condition_split.csv,43,cnn,vib_current,length8192,8192,0.9368183027400904,0.9469274942157656,0.943435754189944,0.9429189652619044,0.9354998749994998,0.8161080074487895,23,0.9631118671959178,16612,13.832972288131714,0.0448741631230067,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_cnn_vib_current_cross_condition_length8192_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_cnn_vib_current_cross_condition_length8192_seed43.pt,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,44,cnn,vib_current,length8192,8192,0.9426709231178504,0.9501531781513038,0.9498370577281192,0.9494091002760886,0.9421818288869586,0.8784916201117319,30,0.9763301275938612,16612,18.1740198135376,0.0423986120850648,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_cnn_vib_current_cross_condition_length8192_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_cnn_vib_current_cross_condition_length8192_seed44.pt,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,42,tcn,vib_current,length8192,8192,0.9485235434956104,0.9563924590253976,0.9549581005586592,0.954846317679672,0.948395791633911,0.909683426443203,30,0.9778414899182912,11620,31.27591633796692,0.0612859746248489,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_tcn_vib_current_cross_condition_length8192_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_tcn_vib_current_cross_condition_length8192_seed42.pt,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,43,tcn,vib_current,length8192,8192,0.937217345038574,0.9454102860498526,0.9415735567970204,0.942926513762098,0.9367966308636844,0.8784916201117319,29,0.9816303275810284,11620,29.88985681533813,0.0590994244530087,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_tcn_vib_current_cross_condition_length8192_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_tcn_vib_current_cross_condition_length8192_seed43.pt,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,44,tcn,vib_current,length8192,8192,0.9265762170790104,0.9368252604999452,0.929352886405959,0.9317719281734598,0.9257790707348584,0.8365921787709497,25,0.9786414156861952,11620,25.75438928604126,0.0597687914321383,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_tcn_vib_current_cross_condition_length8192_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_tcn_vib_current_cross_condition_length8192_seed44.pt,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,42,transformer,vib_current,length8192,8192,0.9199255121042832,0.9281239728938488,0.9276070763500932,0.9273421775304248,0.9204661575425384,0.9068901303538176,23,0.981537485728874,70724,93.20486164093018,0.1769898324039395,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_transformer_vib_current_cross_condition_length8192_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_transformer_vib_current_cross_condition_length8192_seed42.pt,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,43,transformer,vib_current,length8192,8192,0.9275073157754722,0.933114465562126,0.9361033519553074,0.93392288636161,0.9276172762388106,0.8547486033519553,28,0.988927263250144,70724,113.58410954475404,0.1768491216782846,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_transformer_vib_current_cross_condition_length8192_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_transformer_vib_current_cross_condition_length8192_seed43.pt,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,44,transformer,vib_current,length8192,8192,0.937217345038574,0.9464176289759882,0.9450651769087524,0.9454879180918112,0.937766953921054,0.9129422718808192,27,0.9869029172274086,70724,109.45372176170348,0.1761576507154314,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_transformer_vib_current_cross_condition_length8192_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_transformer_vib_current_cross_condition_length8192_seed44.pt,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,42,cnn,vib_current,length8192,8192,0.87682894386805,0.8797336591172777,0.8876862197392924,0.8719481268927561,0.8757631512619074,0.7048417132216015,25,0.9480945046044468,16612,14.824859619140623,0.0424287394660367,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_cnn_vib_current_cross_load_length8192_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_cnn_vib_current_cross_load_length8192_seed42.pt,corrected_formal_train_only_zscore
cross_load,mcc5_postfix_cross_load_split.csv,43,cnn,vib_current,length8192,8192,0.8584729981378026,0.8686085853996014,0.8626629422718808,0.8509989370259108,0.8576607738974305,0.6680633147113594,27,0.965515848417092,16612,15.875528812408447,0.0418002822989636,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\formal_dl_cnn_vib_current_cross_load_length8192_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\formal_dl_cnn_vib_current_cross_load_length8192_seed43.pt,corrected_formal_train_only_zscore
