split_name,model,sequence_length,evidence_status,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,worst_class_recall_mean,worst_class_recall_std,best_val_macro_f1_mean,best_val_macro_f1_std,train_time_sec_mean,train_time_sec_std,inference_time_ms_per_sample_mean,inference_time_ms_per_sample_std
cross_condition,cnn,8192,corrected_formal_train_only_zscore,0.9438680500133012,0.0077182570238914,0.9522230350580508,0.0065793671590879,0.950457790192427,0.0073520816184733,0.9501113363644113,0.0075679640689359,0.9432516575409534,0.0083383298688213,0.8702669149596524,0.0505508851749724,0.973322765612902,0.0090883884641787,15.09014050165812,2.6858571224271874,0.0434446876074623,0.0012815361490892
cross_condition,tcn,8192,corrected_formal_train_only_zscore,0.9374390352043984,0.010975342550755,0.9462093351917318,0.0098080413020118,0.9419615145872128,0.0128070149288051,0.94318158653841,0.0115393093104401,0.9369904977441512,0.0113096067275531,0.8749224084419615,0.0366761104198548,0.979371077728505,0.0019970297270283,28.973387479782104,2.8725863396158524,0.0600513968366653,0.0011203346707544
cross_condition,transformer,8192,corrected_formal_train_only_zscore,0.9282167243061098,0.0086677169372541,0.9358853558106542,0.0094563649353195,0.9362585350713842,0.008730084772137,0.9355843273279488,0.0091862541165459,0.928616795900801,0.0086935992833086,0.8915270018621975,0.0319944534568,0.9857892220688088,0.003818696195455,105.41423098246256,10.773418705223367,0.1766655349325518,0.000445431993214
cross_load,cnn,8192,corrected_formal_train_only_zscore,0.8799326061895894,0.0231678845492589,0.8851488395158041,0.0198109223625216,0.8845825574177529,0.020544370623565,0.8749730055673303,0.0256207826207219,0.8795429158888247,0.0239963352415883,0.7337057728119181,0.083885481841534,0.9673950399410176,0.0203054531462244,13.747184673945108,2.8257556886626065,0.0423509791100966,0.0005162279251447
cross_load,tcn,8192,corrected_formal_train_only_zscore,0.7519730424758357,0.0965122783695836,0.8213820929326435,0.0306320174427825,0.7823556797020483,0.0842328375545939,0.7301832063535211,0.098904663417364,0.7519770526020765,0.0994013601151164,0.3725946617008069,0.1638477986368068,0.8718009145017933,0.0997172757739521,14.082191705703735,3.6053366884489138,0.0595411130000779,0.0004000245557208
cross_load,transformer,8192,corrected_formal_train_only_zscore,0.9156690609204576,0.0545498914387939,0.9076962086196452,0.0560506538593502,0.9230291744258224,0.0515948272623065,0.9075753414266988,0.0601886065689789,0.9163322982219834,0.0553355461048821,0.798106765983861,0.12763554228486,0.9485765647202988,0.0497373410029954,87.83954532941182,13.044798046270332,0.1776831427226836,0.0010835705104411
cross_rpm,cnn,8192,corrected_formal_train_only_zscore,0.6785049215216813,0.1223740378118413,0.7658413219057058,0.0629591436511222,0.6694775132275131,0.1381703795406807,0.6643687084234075,0.1522776588023635,0.6689637746995613,0.1329407238209478,0.4269604800331057,0.2296354287644593,0.996244151908642,0.0007680868188861,19.213218132654827,4.767211805136522,0.0431076362114632,0.0005193522274494
cross_rpm,tcn,8192,corrected_formal_train_only_zscore,0.5176908752327747,0.039821509099743,0.7152047667751052,0.0626484675257815,0.5145752046939198,0.0355721318004982,0.5011254243291641,0.0464752448723313,0.497912179642778,0.0512565677037409,0.2381284916201117,0.1017518249545884,0.9931714832946802,0.0022032258104621,19.58922282854716,3.1633589442558594,0.0605427162797566,0.0011374667872582
cross_rpm,transformer,8192,corrected_formal_train_only_zscore,0.5234769885607874,0.0827765935317581,0.7334712572887465,0.0185625354642693,0.5003186796133724,0.0756210770955928,0.4703292278596782,0.0809569502604607,0.488470048950228,0.0799851701034107,0.1932029795158286,0.0463285931731729,0.997478643950524,0.0003368253031708,127.20131023724872,21.66352116592084,0.1772253650970743,0.0011424165542022
source_file,cnn,8192,corrected_formal_train_only_zscore,0.8359714463066418,0.0311929643929292,0.8895317439719802,0.0166115444676009,0.870693668528864,0.0274762871119235,0.8534690410329454,0.0285971134380983,0.8341120809632141,0.0311077358491199,0.5768156424581005,0.0631433215388677,0.900875675625222,0.0535286227266002,14.788719733556112,1.2493300583574558,0.0446469128168864,0.0007788443710674
source_file,tcn,8192,corrected_formal_train_only_zscore,0.8567659838609559,0.0286126695071279,0.9083144411265872,0.0123878250566825,0.8900915580384855,0.0224824468328118,0.875943963505008,0.0262565443651315,0.8547574587891673,0.031451955754892,0.5963687150837989,0.0839500498723391,0.9366691918207948,0.0284015669661867,46.58750971158346,21.236782389574483,0.0657172842398701,0.0055538262496879
source_file,transformer,8192,corrected_formal_train_only_zscore,0.947548106765984,0.0324896524782386,0.95354151147493,0.028085027988316,0.9569366852886406,0.0271002609753551,0.9530517476956182,0.0289311008090931,0.9476814936649824,0.0323256091105606,0.8761638733705773,0.0803811092743264,0.9886202511834788,0.003257430476938,194.51643419265747,26.273412311995205,0.1851417202893285,0.0123962041941983
