protocol,uses_overlapping_windows,recording_grouped,source_recording_overlap_mean,source_recording_overlap_std,source_recording_overlap_min,source_recording_overlap_max,window_accuracy_mean,window_accuracy_std,window_accuracy_min,window_accuracy_max,window_macro_f1_mean,window_macro_f1_std,window_macro_f1_min,window_macro_f1_max,window_worst_class_recall_mean,window_worst_class_recall_std,window_worst_class_recall_min,window_worst_class_recall_max,recording_accuracy_mean,recording_accuracy_std,recording_accuracy_min,recording_accuracy_max,recording_macro_f1_mean,recording_macro_f1_std,recording_macro_f1_min,recording_macro_f1_max,recording_worst_class_recall_mean,recording_worst_class_recall_std,recording_worst_class_recall_min,recording_worst_class_recall_max
random_nonoverlapping_windows,False,False,84.0,0.0,84,84,0.995326278659612,0.002461074155077582,0.9902998236331569,0.9982363315696648,0.9952828514237334,0.0022357770069978138,0.9906974000806632,0.9980713136267475,0.9914184805789438,0.003622312229845933,0.985207100591716,0.9967741935483871,,,,,,,,,,,,
random_overlapping_windows,True,False,84.0,0.0,84,84,0.9976507092198581,0.0010247364588888482,0.9964539007092199,0.9995567375886525,0.9975680856356556,0.0009398893348604821,0.9962770350321928,0.9994096455987476,0.9943801571082946,0.0023445750960606228,0.9906832298136646,0.9983792544570502,,,,,,,,,,,,
recording_grouped_nonoverlapping_windows,False,True,0.0,0.0,0,0,0.9769444444444444,0.03476150041776115,0.9101851851851852,0.9990740740740741,0.9764807382963889,0.03579245912949258,0.9074705142226889,0.9991894374696039,0.9174074074074074,0.1356233386489309,0.6592592592592592,0.9962962962962963,0.9833333333333334,0.03513641844631534,0.9166666666666666,1.0,0.9828571428571429,0.036140316116210006,0.9142857142857144,1.0,0.9333333333333333,0.1405456737852613,0.6666666666666666,1.0
recording_grouped_overlapping_windows,True,True,0.0,0.0,0,0,0.9781657355679702,0.034489390816324766,0.9120111731843575,0.9990689013035382,0.9777005833203646,0.03555810828924091,0.9092004023466761,0.9991852886405959,0.9193668528864058,0.13559218342987445,0.6629422718808193,0.9981378026070763,0.9833333333333334,0.03513641844631534,0.9166666666666666,1.0,0.9828571428571429,0.036140316116210006,0.9142857142857144,1.0,0.9333333333333333,0.1405456737852613,0.6666666666666666,1.0
