run_id,configuration,setting,seed,severity_group,recording_count,recording_accuracy,recording_macro_f1,evidence_status
postfix_neural_fusion_20260710_180646,auxiliary_26,vibration_current_auxiliary_only,45,High,12,0.8333333333333334,0.8333333333333334,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_26,vibration_current_auxiliary_only,45,Light,12,1.0,1.0,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_26,vibration_current_auxiliary_only,45,Healthy (ungraded),4,1.0,,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_26,vibration_current_auxiliary_only,46,High,12,0.75,0.7407407407407408,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_26,vibration_current_auxiliary_only,46,Light,12,1.0,1.0,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_26,vibration_current_auxiliary_only,46,Healthy (ungraded),4,1.0,,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,42,High,12,0.75,0.7407407407407408,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,42,Light,12,1.0,1.0,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,42,Healthy (ungraded),4,1.0,,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,43,High,12,0.6666666666666666,0.6222222222222222,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,43,Light,12,1.0,1.0,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,43,Healthy (ungraded),4,1.0,,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,44,High,12,0.9166666666666666,0.9259259259259259,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,44,Light,12,1.0,1.0,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,44,Healthy (ungraded),4,1.0,,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,45,High,12,1.0,1.0,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,45,Light,12,1.0,1.0,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,45,Healthy (ungraded),4,1.0,,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,46,High,12,0.8333333333333334,0.832010582010582,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,46,Light,12,1.0,1.0,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,auxiliary_context_28,vibration_current_rpm_load,46,Healthy (ungraded),4,1.0,,posthoc_exploratory_same_holdout
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,42,High,12,0.5,0.4166666666666667,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,42,Light,12,0.9166666666666666,0.9153439153439153,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,42,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,43,High,12,0.5833333333333334,0.4908424908424909,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,43,Light,12,0.75,0.709090909090909,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,43,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,44,High,12,0.4166666666666667,0.3904761904761904,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,44,Light,12,0.6666666666666666,0.6412698412698412,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,44,Healthy (ungraded),4,0.0,,corrected_formal_train_only_zscore
postfix_neural_fusion_20260710_180646,full_fusion_legacy_262,full_multisource_fusion,45,High,12,0.25,0.1818181818181818,corrected_formal_train_only_zscore
