split_name,split_file,seed,model,setting,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall,epochs_ran,best_val_macro_f1,parameter_count,scalar_feature_count,train_time_sec,inference_time_ms_per_sample,prediction_path,checkpoint,setting_label,evidence_status
source_file,mcc5_postfix_source_file_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,0.9930167597765364,0.9939567480471444,0.993133147113594,0.9935379945430808,0.993016641620893,0.9869646182495344,30,0.9866361778946,69284,28,53.35118126869202,0.0703525720805873,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_source_file_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_source_file_seed43.pt,auxiliary_context_28,posthoc_exploratory_same_holdout
source_file,mcc5_postfix_source_file_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,0.98975791433892,0.9907242312629052,0.9899906890130354,0.9903298620907196,0.9897500333771864,0.9757914338919924,24,0.9740642286469324,69284,28,42.73340630531311,0.0664097858762829,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_source_file_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_source_file_seed44.pt,auxiliary_context_28,posthoc_exploratory_same_holdout
source_file,mcc5_postfix_source_file_split.csv,42,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.99487895716946,0.995113237087321,0.99487895716946,0.9949953952331502,0.9948794962345696,0.994413407821229,19,0.9865559425090372,76772,262,34.08206558227539,0.0659037568715697,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_source_file_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_source_file_seed42.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
source_file,mcc5_postfix_source_file_split.csv,43,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.99487895716946,0.9954706662630572,0.9946461824953444,0.9950531973946348,0.9948809270762268,0.9925512104283054,13,0.965792362051924,76772,262,23.20148134231568,0.065578983704693,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_source_file_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_source_file_seed43.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
source_file,mcc5_postfix_source_file_split.csv,44,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,0.9934823091247672,0.9940947789719748,0.991852886405959,0.992937550780568,0.9934726663012148,0.9776536312849162,18,0.9928667576059732,76772,262,32.171109676361084,0.0647175467436096,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_source_file_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_full_multisource_fusion_source_file_seed44.pt,full_fusion_legacy_262,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current,0.941074753923916,0.9492649304446552,0.9484404096834264,0.948718468616391,0.9413925355615896,0.9003724394785847,11,0.965325826381952,68420,0,11.588299036026,0.0635819981852311,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_condition_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_cross_condition_seed42.pt,no_scalars,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current,0.929369513168396,0.9413100062927124,0.9381983240223464,0.938970200828344,0.930251658089536,0.9166666666666666,26,0.985642914422868,68420,0,26.781320810318,0.0649768959242284,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_condition_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_cross_condition_seed43.pt,no_scalars,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,44,OrderNormalizedMultisourceFusionNet,vibration_current,0.926975259377494,0.9491101223581756,0.9361033519553073,0.9373123979906844,0.9283570262750678,0.8333333333333334,9,0.9466888553090322,68420,0,9.286489009857178,0.065715746157789,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_condition_seed44_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_cross_condition_seed44.pt,no_scalars,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,42,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,0.9678105879223198,0.9699899736043373,0.9718342644320298,0.9700128839114908,0.9680194362038004,0.931098696461825,23,0.9655339075749316,68452,2,23.924392700195312,0.0649868538164654,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_condition_seed42_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_only_cross_condition_seed42.pt,context_2,corrected_formal_train_only_zscore
cross_condition,mcc5_postfix_cross_condition_split.csv,43,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,0.9334929502527268,0.9438045078423788,0.9405260707635008,0.9417642206349456,0.934180166854404,0.9166666666666666,27,0.9737280558819476,68452,2,27.83541321754456,0.0663992254364265,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_condition_seed43_predictions.csv,results\formal_runs\postfix_neural_fusion_20260710_180646\checkpoints\corrected_fusion_vibration_current_rpm_load_only_cross_condition_seed43.pt,context_2,corrected_formal_train_only_zscore
