split,model,aggregation,source_recording_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall,bootstrap_unit,bootstrap_replicates,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,worst_class_recall_ci_low,worst_class_recall_ci_high
source_file,xgboost,mean_probability,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
source_file,xgboost,majority_vote,12,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_condition,random_forest,mean_probability,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_condition,random_forest,majority_vote,42,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229813,0.9166666666666666,source_recording,2000,0.9285714285714286,1.0,0.9365079365079365,1.0,0.75,1.0
cross_load,random_forest,mean_probability,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_load,random_forest,majority_vote,42,1.0,1.0,1.0,1.0,1.0,1.0,source_recording,2000,1.0,1.0,1.0,1.0,1.0,1.0
cross_rpm,random_forest,mean_probability,28,0.7142857142857143,0.8472222222222222,0.7777777777777778,0.7019607843137254,0.6427170868347339,0.1111111111111111,source_recording,2000,0.6785714285714286,0.7857142857142857,0.6355263157894737,0.8,0.0,0.3333333333333333
cross_rpm,random_forest,majority_vote,28,0.6785714285714286,0.5888888888888889,0.75,0.6443850267379679,0.5708556149732621,0.0,source_recording,2000,0.6785714285714286,0.6785714285714286,0.6355263157894737,0.6521739130434783,0.0,0.0
