run_id,protocol,split_name,configuration,setting,scalar_feature_count,seed,window_accuracy,window_macro_f1,window_worst_recall,recording_count,recording_accuracy,recording_macro_f1,recording_worst_recall,evidence_status,prediction_path
postfix_neural_fusion_20260710_180646,cross_mode_speed_to_torque,cross_condition,no_scalars,vibration_current,0,42,0.941074753923916,0.948718468616391,0.9003724394785847,42,0.9523809523809524,0.9583333333333331,0.9166666666666666,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_condition_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,cross_mode_speed_to_torque,cross_condition,no_scalars,vibration_current,0,43,0.929369513168396,0.938970200828344,0.9166666666666666,42,0.9285714285714286,0.9382971014492754,0.9166666666666666,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_condition_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,cross_mode_speed_to_torque,cross_condition,no_scalars,vibration_current,0,44,0.926975259377494,0.9373123979906844,0.8333333333333334,42,0.9285714285714286,0.9386253842775582,0.8333333333333334,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_condition_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,auxiliary_26,vibration_current_auxiliary_only,26,42,0.9275073157754722,0.9356081050646023,0.8584729981378026,42,0.9761904761904762,0.9791304347826086,0.9166666666666666,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,auxiliary_26,vibration_current_auxiliary_only,26,43,0.9103484969406758,0.918699370545921,0.7863128491620112,42,0.9523809523809524,0.958041958041958,0.8333333333333334,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,auxiliary_26,vibration_current_auxiliary_only,26,44,0.86512370311253,0.8784018884425943,0.6475791433891993,42,0.8809523809523809,0.8911070780399274,0.5833333333333334,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_load_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,auxiliary_context_28,vibration_current_rpm_load,28,42,0.9361532322426176,0.941839169698816,0.840782122905028,42,0.9523809523809524,0.958041958041958,0.8333333333333334,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_load_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,auxiliary_context_28,vibration_current_rpm_load,28,43,0.9523809523809524,0.9529348124271386,0.8957169459962756,42,1.0,1.0,1.0,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_load_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,auxiliary_context_28,vibration_current_rpm_load,28,44,0.8933226922053737,0.887770438482114,0.8375232774674115,42,0.9523809523809524,0.9490663322185062,0.9166666666666666,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_load_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,context_2,vibration_current_rpm_load_only,2,42,0.7391593508911944,0.728954194201459,0.505586592178771,42,0.7380952380952381,0.7294372294372293,0.5,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,context_2,vibration_current_rpm_load_only,2,43,0.889731311519021,0.8882495848730146,0.7797951582867784,42,0.9761904761904762,0.9791304347826086,0.9166666666666666,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,context_2,vibration_current_rpm_load_only,2,44,0.879489225857941,0.875561978328671,0.7388268156424581,42,0.9761904761904762,0.9791304347826086,0.9166666666666666,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_load_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,full_engineered_254,full_engineered_features_254,254,42,0.9707368981111998,0.9663722498929668,0.9171322160148976,42,1.0,1.0,1.0,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,full_engineered_254,full_engineered_features_254,254,43,0.9360202181431232,0.9267541252336188,0.8868715083798883,42,0.9523809523809524,0.9425465838509316,0.9166666666666666,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,full_engineered_254,full_engineered_features_254,254,44,0.9023676509710028,0.8966141577767254,0.6792364990689013,42,0.9047619047619048,0.8950549450549451,0.6666666666666666,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,full_fusion_legacy_262,full_multisource_fusion,262,42,0.9808459696727854,0.981073278709399,0.962756052141527,42,1.0,1.0,1.0,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_load_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,full_fusion_legacy_262,full_multisource_fusion,262,43,0.967411545623836,0.9616650685320702,0.9450651769087524,42,1.0,1.0,1.0,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_load_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,full_fusion_legacy_262,full_multisource_fusion,262,44,0.9356211758446396,0.928420789901542,0.9036312849162011,42,1.0,1.0,1.0,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_multisource_fusion_cross_load_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,no_scalars,vibration_current,0,42,0.8071295557329077,0.7945111048166367,0.6964618249534451,42,0.8333333333333334,0.8184315684315684,0.6666666666666666,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_load_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,no_scalars,vibration_current,0,43,0.7958233572758713,0.808216646546527,0.5595903165735568,42,0.7857142857142857,0.8078341013824885,0.5,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_load_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,cross_load_20_to_40_nm,cross_load,no_scalars,vibration_current,0,44,0.8876030859271082,0.8831932560051945,0.771415270018622,42,0.9761904761904762,0.9791304347826086,0.9166666666666666,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_cross_load_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_26,vibration_current_auxiliary_only,26,42,0.9020351157222666,0.9120983266912436,0.8058659217877095,28,0.9285714285714286,0.9373774509803922,0.875,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_rpm_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_26,vibration_current_auxiliary_only,26,43,0.9343575418994412,0.9430843422500552,0.8764742396027312,28,0.9642857142857144,0.9686274509803922,0.8888888888888888,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_rpm_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_26,vibration_current_auxiliary_only,26,44,0.922585794094174,0.92743140324524,0.8715083798882681,28,0.9642857142857144,0.9686274509803922,0.8888888888888888,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_rpm_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_26,vibration_current_auxiliary_only,26,45,0.9090183559457302,0.9209016347884788,0.8038485412787089,28,0.9285714285714286,0.9375,0.7777777777777778,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_rpm_seed45_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_26,vibration_current_auxiliary_only,26,46,0.8661213088587391,0.8772784803368712,0.7318435754189944,28,0.8928571428571429,0.9054621848739496,0.75,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_auxiliary_only_cross_rpm_seed46_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_context_28,vibration_current_rpm_load,28,42,0.8703112529928172,0.8818537582899935,0.696927374301676,28,0.8928571428571429,0.9054621848739496,0.75,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_rpm_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_context_28,vibration_current_rpm_load,28,43,0.8701117318435754,0.8820303259660285,0.6997206703910615,28,0.8571428571428571,0.870412267471091,0.625,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_rpm_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_context_28,vibration_current_rpm_load,28,44,0.9337589784517158,0.9429224616610016,0.8839230291744258,28,0.9642857142857144,0.9705882352941176,0.8888888888888888,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_rpm_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_context_28,vibration_current_rpm_load,28,45,0.9315642458100558,0.9336390056776488,0.8079608938547486,28,1.0,1.0,1.0,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_rpm_seed45_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,auxiliary_context_28,vibration_current_rpm_load,28,46,0.8980446927374302,0.9070019694294256,0.8233240223463687,28,0.9285714285714286,0.9373774509803922,0.875,posthoc_exploratory_same_holdout,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_cross_rpm_seed46_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,context_2,vibration_current_rpm_load_only,2,42,0.7386272944932163,0.7368487968215018,0.4713687150837989,28,0.7857142857142857,0.7859231411862991,0.5,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_rpm_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,context_2,vibration_current_rpm_load_only,2,43,0.6775738228252195,0.623118930013966,0.2793296089385474,28,0.6428571428571429,0.586111111111111,0.25,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_rpm_seed43_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,context_2,vibration_current_rpm_load_only,2,44,0.7791300877893057,0.7604580871059781,0.4874301675977653,28,0.8571428571428571,0.8281045751633986,0.5,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_rpm_seed44_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,context_2,vibration_current_rpm_load_only,2,45,0.7440143655227454,0.7116398339387172,0.38268156424581,28,0.7857142857142857,0.7176470588235294,0.25,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_rpm_seed45_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,context_2,vibration_current_rpm_load_only,2,46,0.7102952913008779,0.7298681588330166,0.5153631284916201,28,0.7142857142857143,0.7351190476190476,0.5,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_vibration_current_rpm_load_only_cross_rpm_seed46_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,full_engineered_254,full_engineered_features_254,254,42,0.6229050279329609,0.5235671952017471,0.0223463687150838,28,0.6428571428571429,0.5348039215686274,0.0,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_engineered_features_254_cross_rpm_seed42_predictions.csv
postfix_neural_fusion_20260710_180646,upward_1000_2000_to_3000_rpm,cross_rpm,full_engineered_254,full_engineered_features_254,254,43,0.492218675179569,0.3906238036051188,0.0279329608938547,28,0.4285714285714285,0.2905982905982906,0.0,corrected_formal_train_only_zscore,results\formal_runs\postfix_neural_fusion_20260710_180646\predictions\corrected_fusion_full_engineered_features_254_cross_rpm_seed43_predictions.csv
