split_name,setting,setting_label,model,scalar_feature_count,evidence_status,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,worst_class_recall_mean,worst_class_recall_std,best_val_macro_f1_mean,best_val_macro_f1_std,train_time_sec_mean,train_time_sec_std,inference_time_ms_per_sample_mean,inference_time_ms_per_sample_std
cross_condition,full_engineered_features_254,full_engineered_254,OrderNormalizedMultisourceFusionNet,254,corrected_formal_train_only_zscore,0.9708255741775296,0.003609399129012,0.9755891523325314,0.0033766667698457,0.9703600248292986,0.0059144161933811,0.9722871488819352,0.0045542095298261,0.970751646683048,0.0036257737493894,0.9231843575418996,0.0048604778905543,0.9854675971365175,0.0057201887476012,21.723628362019863,1.9748482393403608,0.0736071749064181,0.0021456414702722
cross_condition,full_multisource_fusion,full_fusion_legacy_262,OrderNormalizedMultisourceFusionNet,262,corrected_formal_train_only_zscore,0.9625787000088676,0.0038189951729447,0.968034304438894,0.0032483268133135,0.96516139044072,0.0015887333356178,0.9660440158723494,0.0023372420453816,0.9625173307466116,0.003772465111326,0.9222532588454376,0.0065176908752328,0.9804419359922324,0.0119292647629381,17.35920508702596,5.844321756575754,0.0650776905128483,0.0011220384969576
cross_condition,vibration_current,no_scalars,OrderNormalizedMultisourceFusionNet,0,corrected_formal_train_only_zscore,0.9324731754899354,0.0075447648386648,0.9465616863651812,0.0045487469784087,0.9409140285536932,0.0066016692338316,0.9416670224784732,0.006162730485678,0.933333739975398,0.0070431205550606,0.8834574798261948,0.0441667069877593,0.965885865371284,0.0194830673435481,15.885369618733726,9.506097865380038,0.0647582134224161,0.0010835527813853
cross_condition,vibration_current_auxiliary_only,auxiliary_26,OrderNormalizedMultisourceFusionNet,26,posthoc_exploratory_same_holdout,0.9801365611421478,0.0107456404378273,0.9835891726024446,0.0084369983900541,0.9815720049658596,0.0080082043693871,0.9820319391792424,0.0086405374139339,0.9801135293728456,0.0107576076425512,0.936840471756673,0.0361583320617576,0.9764610310051016,0.0023394752208993,19.699746608734127,4.85301142818072,0.0643703947467267,0.0007278657529278
cross_condition,vibration_current_rpm_load,auxiliary_context_28,OrderNormalizedMultisourceFusionNet,28,posthoc_exploratory_same_holdout,0.9895805622062605,0.0139406983641681,0.9873125671322186,0.0179878946842066,0.9901070763500932,0.0117499343241376,0.9883772090718218,0.0154332700246998,0.9896102736505796,0.0138882030195893,0.9714463066418374,0.0349916420671978,0.9739761901745492,0.0016009909754928,24.164970715840656,7.805039187308841,0.0661785450135602,0.0015354531094122
cross_condition,vibration_current_rpm_load_only,context_2,OrderNormalizedMultisourceFusionNet,2,corrected_formal_train_only_zscore,0.9488339097277644,0.0174453117415813,0.9570118612565948,0.0130942379653263,0.9547641216635632,0.0158450719771114,0.9541864231321804,0.0144287378195813,0.9489807510057088,0.0173131499989843,0.888112973308504,0.0623737681810609,0.9673807410245407,0.0056548002878787,26.9006507396698,2.63624704225633,0.0655574346990399,0.0007442207248042
cross_load,full_engineered_features_254,full_engineered_254,OrderNormalizedMultisourceFusionNet,254,corrected_formal_train_only_zscore,0.936374922408442,0.0341860037144765,0.9289339327106956,0.0300669272907407,0.9432805710738672,0.0297374391225242,0.9299135109677704,0.0349861993161213,0.9357240564359222,0.0363259800552615,0.8277467411545624,0.1295005660601494,0.9910162632758608,0.001458443740765,28.6982258160909,2.944799121817866,0.075664600180514,6.548220595717617e-05
cross_load,full_multisource_fusion,full_fusion_legacy_262,OrderNormalizedMultisourceFusionNet,262,corrected_formal_train_only_zscore,0.961292897047087,0.0232249626372979,0.9528984160695542,0.0286607215345107,0.9653553693358164,0.0201781318475236,0.957053045714337,0.0266275085253736,0.9621543926754792,0.0222539592066754,0.9371508379888268,0.0303465334967081,0.9881838448637956,0.0038528404747086,27.40360657374064,4.848745885793407,0.0702842199243192,0.0058699577610772
cross_load,vibration_current,no_scalars,OrderNormalizedMultisourceFusionNet,0,corrected_formal_train_only_zscore,0.8301853329786292,0.0500455422203308,0.8474017986556737,0.0430708312012531,0.8336049037864681,0.0487514773589657,0.8286403357894527,0.0477386247872334,0.8294716146034299,0.0514152944810221,0.6758224705152079,0.1074101482133852,0.9603701113414372,0.0429285434265325,21.10116092363993,9.65094750990024,0.0646825566976387,0.0002633381490612
cross_load,vibration_current_auxiliary_only,auxiliary_26,OrderNormalizedMultisourceFusionNet,26,posthoc_exploratory_same_holdout,0.9009931719428926,0.0322268577677162,0.9255672131318192,0.0174614135325182,0.9125543140906268,0.0281677394108942,0.9109031213510392,0.0293891805122659,0.901525229947898,0.032787945502149,0.7641216635630044,0.107183912185544,0.9852688858170084,0.0017831707408362,18.91780185699463,9.678937532449924,0.0730482855618628,0.0019437917090883
