prediction_file,aggregation,metric,point_estimate,bootstrap_mean,ci_low_95,ci_high_95,bootstrap_replicates,bootstrap_unit,source_recording_count,split_name,model,setting,seed,scalar_feature_count,setting_label,evidence_status,run_tag,sequence_length
corrected_fusion_full_engineered_features_254_cross_condition_seed44_predictions.csv,source_mean_probability,macro_f1,0.9791304347826086,0.9784387386356596,0.9365079365079364,1.0,2000,source_recording_stratified_by_class,42,cross_condition,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_condition_seed44_predictions.csv,source_mean_probability,worst_class_recall,0.9166666666666666,0.9144166666666664,0.75,1.0,2000,source_recording_stratified_by_class,42,cross_condition,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_condition_seed44_predictions.csv,source_majority_vote,accuracy,0.9761904761904762,0.975547619047619,0.9285714285714286,1.0,2000,source_recording_stratified_by_class,42,cross_condition,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_condition_seed44_predictions.csv,source_majority_vote,macro_f1,0.9791304347826086,0.9784387386356596,0.9365079365079364,1.0,2000,source_recording_stratified_by_class,42,cross_condition,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_condition_seed44_predictions.csv,source_majority_vote,worst_class_recall,0.9166666666666666,0.9144166666666664,0.75,1.0,2000,source_recording_stratified_by_class,42,cross_condition,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_condition_seed44_predictions.csv,window_clustered,accuracy,0.9687416866187816,0.9680030593242884,0.9220504123437084,0.9970770151636074,2000,source_recording_stratified_by_class,42,cross_condition,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_condition_seed44_predictions.csv,window_clustered,macro_f1,0.9697090813990203,0.9688198796274424,0.9260021510866852,0.9966796374131666,2000,source_recording_stratified_by_class,42,cross_condition,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_condition_seed44_predictions.csv,window_clustered,worst_class_recall,0.925512104283054,0.906683426443203,0.776536312849162,0.9916201117318436,2000,source_recording_stratified_by_class,42,cross_condition,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,source_mean_probability,accuracy,1.0,1.0,1.0,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,source_mean_probability,macro_f1,1.0,1.0,1.0,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,source_mean_probability,worst_class_recall,1.0,1.0,1.0,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,source_majority_vote,accuracy,1.0,1.0,1.0,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,source_majority_vote,macro_f1,1.0,1.0,1.0,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,source_majority_vote,worst_class_recall,1.0,1.0,1.0,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,window_clustered,accuracy,0.9707368981111998,0.9706043495610532,0.9502494014365522,0.9869646182495344,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,window_clustered,macro_f1,0.9663722498929668,0.9663431926495628,0.942220577265882,0.9863417190034094,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed42_predictions.csv,window_clustered,worst_class_recall,0.9171322160148976,0.9167695530726258,0.845903165735568,0.97161312849162,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,source_mean_probability,accuracy,0.9523809523809524,0.9531071428571428,0.8809523809523809,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,source_mean_probability,macro_f1,0.9425465838509316,0.9443233342716196,0.8680290297937356,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,source_mean_probability,worst_class_recall,0.9166666666666666,0.8762083333333333,0.6666666666666666,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,source_majority_vote,accuracy,0.9523809523809524,0.9531071428571428,0.8809523809523809,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,source_majority_vote,macro_f1,0.9425465838509316,0.9443233342716196,0.8680290297937356,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,source_majority_vote,worst_class_recall,0.9166666666666666,0.8762083333333333,0.6666666666666666,1.0,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,window_clustered,accuracy,0.9360202181431232,0.9361816307528598,0.8953079276403298,0.9715349827081672,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,window_clustered,macro_f1,0.9267541252336188,0.927302096700614,0.8831421105510788,0.9669017496877796,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed43_predictions.csv,window_clustered,worst_class_recall,0.8868715083798883,0.86433030726257,0.7662825884543761,0.9390246741154562,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,source_mean_probability,accuracy,0.9047619047619048,0.9054285714285716,0.8333333333333334,0.9761904761904762,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,source_mean_probability,macro_f1,0.8950549450549451,0.8960747575112007,0.8042986425339367,0.9791304347826087,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,source_mean_probability,worst_class_recall,0.6666666666666666,0.669,0.4166666666666667,0.9166666666666666,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,source_majority_vote,accuracy,0.9047619047619048,0.9054285714285716,0.8333333333333334,0.9761904761904762,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,source_majority_vote,macro_f1,0.8950549450549451,0.8960747575112007,0.8042986425339367,0.9791304347826087,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,source_majority_vote,worst_class_recall,0.6666666666666666,0.669,0.4166666666666667,0.9166666666666666,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,window_clustered,accuracy,0.9023676509710028,0.9027866453844108,0.8539372173450386,0.9505254056930036,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,window_clustered,macro_f1,0.8966141577767253,0.897152045730947,0.8416091592709853,0.950591678074343,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_load_seed44_predictions.csv,window_clustered,worst_class_recall,0.6792364990689013,0.680453445065177,0.5097648975791433,0.8459264432029794,2000,source_recording_stratified_by_class,42,cross_load,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_rpm_seed42_predictions.csv,source_mean_probability,accuracy,0.6428571428571429,0.6417857142857143,0.5,0.7508928571428523,2000,source_recording_stratified_by_class,28,cross_rpm,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_rpm_seed42_predictions.csv,source_mean_probability,macro_f1,0.5348039215686274,0.5325075302637884,0.4242424242424242,0.6244059036658114,2000,source_recording_stratified_by_class,28,cross_rpm,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_rpm_seed42_predictions.csv,source_mean_probability,worst_class_recall,0.0,0.0,0.0,0.0,2000,source_recording_stratified_by_class,28,cross_rpm,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
corrected_fusion_full_engineered_features_254_cross_rpm_seed42_predictions.csv,source_majority_vote,accuracy,0.6428571428571429,0.6417857142857143,0.5,0.7508928571428523,2000,source_recording_stratified_by_class,28,cross_rpm,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,
