split,feature_group,feature_count,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
condition_speed_to_torque,vibration_current_no_order,135,random_forest,0.9655493482309124,0.9725908429498628,0.9695065176908751,0.9699069769079212,0.965807773808853,0.9166666666666666
condition_speed_to_torque,vibration_current_no_order,135,xgboost,0.9737962223995744,0.9785292799349384,0.9753258845437616,0.976155129533053,0.973753340724132,0.9162011173184358
condition_speed_to_torque,all_signals_without_order_plus_context,161,random_forest,0.9759244479914873,0.9804015013338208,0.9789338919925512,0.978839711284994,0.9758832889989776,0.9166666666666666
condition_speed_to_torque,all_signals_without_order_plus_context,161,xgboost,0.9732641660015962,0.9779602231384914,0.9766061452513968,0.9765739240406546,0.9732273417607482,0.9175977653631284
condition_speed_to_torque,all_features,254,random_forest,0.9760574620909817,0.9805284048871205,0.9790502793296088,0.97895598805946,0.9760161767412242,0.9166666666666666
condition_speed_to_torque,all_features,254,xgboost,0.9743282787975526,0.9788595249433364,0.9775372439478583,0.977506752484402,0.9742934314107452,0.919459962756052
condition_torque_to_speed,vibration_current_no_order,135,random_forest,0.8418462357009843,0.8874981916234335,0.8237814327199802,0.8404226593274491,0.8429486775156408,0.7029795158286778
condition_torque_to_speed,vibration_current_no_order,135,xgboost,0.8862729449321628,0.8971735669074713,0.8677294539724707,0.8768131466444298,0.8844478952667417,0.7281191806331471
condition_torque_to_speed,all_signals_without_order_plus_context,161,random_forest,0.9296355413673848,0.9411308127976932,0.9360528903126668,0.9369742235199472,0.929628219669126,0.8781107160995429
condition_torque_to_speed,all_signals_without_order_plus_context,161,xgboost,0.9110135674381484,0.9285513397593828,0.9189822049458922,0.9185016116981054,0.9103505657554738,0.7872797593467985
condition_torque_to_speed,all_features,254,random_forest,0.9306996541633412,0.9423460628550248,0.9370238699847636,0.9378722279717152,0.930742179091654,0.8821736922295581
condition_torque_to_speed,all_features,254,xgboost,0.9095504123437084,0.9272317581362214,0.9197334323032648,0.918326357164224,0.9089382031443964,0.7872797593467985
load_20_to_40,vibration_current_no_order,135,random_forest,0.9950784783187018,0.9953475219259496,0.994413407821229,0.99487551373136,0.9950780237036636,0.98975791433892
load_20_to_40,vibration_current_no_order,135,xgboost,0.9534450651769087,0.9621601395720472,0.9581005586592178,0.9582677075538666,0.9533058848279108,0.8645251396648045
load_20_to_40,all_signals_without_order_plus_context,161,random_forest,0.9783187017823888,0.979730218931941,0.979864990689013,0.9794874781829558,0.9782814845502515,0.940875232774674
load_20_to_40,all_signals_without_order_plus_context,161,xgboost,0.98097898377228,0.982997255800135,0.9824255121042832,0.9824732390424518,0.9810335288444724,0.9590316573556796
load_20_to_40,all_features,254,random_forest,0.9890928438414472,0.9888625648449956,0.989292364990689,0.9890586349674548,0.9890887851566452,0.9795158286778398
load_20_to_40,all_features,254,xgboost,0.9687416866187816,0.973795640087764,0.971717877094972,0.97204139510192,0.9689792751371163,0.936685288640596
load_40_to_20,vibration_current_no_order,135,random_forest,0.9596967278531524,0.9660689044282602,0.9649307861598364,0.9640377416196266,0.960267714063124,0.9204984959174904
load_40_to_20,vibration_current_no_order,135,xgboost,0.972998137802607,0.9762689849844476,0.9770440220859216,0.9758090039945582,0.9730420001887606,0.9200687580575848
load_40_to_20,all_signals_without_order_plus_context,161,random_forest,0.949853684490556,0.9573155008520278,0.958352052974958,0.9555220086711008,0.948888077505317,0.8457241082939407
load_40_to_20,all_signals_without_order_plus_context,161,xgboost,0.9541101356743816,0.9613326477180364,0.962319803101926,0.9594891617493928,0.9536924847553258,0.8568972926514826
load_40_to_20,all_features,254,random_forest,0.9506517690875232,0.958038937766185,0.9594101196754828,0.956368845314206,0.9496748484626572,0.8457241082939407
load_40_to_20,all_features,254,xgboost,0.9555732907688216,0.9625232650165308,0.9638776028440832,0.960902019692367,0.9552522399250152,0.8603351955307262
rpm_1000_holdout,vibration_current_no_order,135,random_forest,0.9592976855546688,0.9660635781139868,0.9619413407821228,0.962554260153443,0.9591123077589394,0.88268156424581
rpm_1000_holdout,vibration_current_no_order,135,xgboost,0.9838387869114126,0.9843093769389776,0.9842877094972068,0.9842129169332196,0.9838517475548229,0.9762569832402236
rpm_1000_holdout,all_signals_without_order_plus_context,161,random_forest,0.9906225059856344,0.9907853825209948,0.9903980446927374,0.9905769531498936,0.9906294049984796,0.9874301675977654
rpm_1000_holdout,all_signals_without_order_plus_context,161,xgboost,0.9872306464485237,0.9880445220707728,0.9872555865921788,0.9876060757890388,0.9872360754115628,0.9776536312849162
rpm_1000_holdout,all_features,254,random_forest,0.9906225059856344,0.9909756180521784,0.990572625698324,0.9907531798499126,0.9906310067415586,0.9860335195530726
rpm_1000_holdout,all_features,254,xgboost,0.991021548284118,0.991840257050864,0.990572625698324,0.9911845233160326,0.9910279263962676,0.9874301675977654
rpm_2000_holdout,vibration_current_no_order,135,random_forest,0.987829209896249,0.9894693995865844,0.9856843575418994,0.9874771867685636,0.9878143651152724,0.9706703910614524
rpm_2000_holdout,vibration_current_no_order,135,xgboost,0.9898244213886672,0.9900854622402891,0.9907472067039106,0.9903940561198707,0.989817639942805,0.9818435754189944
rpm_2000_holdout,all_signals_without_order_plus_context,161,random_forest,0.9962090981644054,0.995816853808167,0.9961592178770948,0.9959859696667016,0.9962095082702136,0.994413407821229
rpm_2000_holdout,all_signals_without_order_plus_context,161,xgboost,0.996608140462889,0.9965131016799834,0.9966829608938548,0.9965960597954542,0.9966082374135268,0.9951117318435754
rpm_2000_holdout,all_features,254,random_forest,0.9974062250598564,0.9972122853064652,0.9973812849162011,0.9972944449829249,0.9974063919134932,0.9951117318435754
rpm_2000_holdout,all_features,254,xgboost,0.996608140462889,0.9966851434359136,0.997032122905028,0.9968575390037576,0.9966078588813614,0.9951117318435754
rpm_3000_holdout,vibration_current_no_order,135,random_forest,0.4814445331205108,0.7421554169156042,0.4568147556974373,0.4168848017506146,0.4469819987601266,0.0824022346368715
rpm_3000_holdout,vibration_current_no_order,135,xgboost,0.6791699920191541,0.7901177612945274,0.6050423428216725,0.5883961401665754,0.651183049360678,0.0754189944134078
rpm_3000_holdout,all_signals_without_order_plus_context,161,random_forest,0.6995211492418196,0.8154499255181622,0.7640357586237474,0.6903220245722409,0.6305510480250741,0.1055245189323401
rpm_3000_holdout,all_signals_without_order_plus_context,161,xgboost,0.8413806863527534,0.8810805888853172,0.7652218010109071,0.7555781320862301,0.8114576905309107,0.2067039106145251
rpm_3000_holdout,all_features,254,random_forest,0.6983240223463687,0.8047903553939414,0.7634261106677308,0.6921477843756525,0.632636346560148,0.1098696461824953
rpm_3000_holdout,all_features,254,xgboost,0.7883080606544294,0.854724275521361,0.7060194422275428,0.6732957358023492,0.7478773752117249,0.0810055865921787
