split,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall,source_file_count,macro_f1_cluster_boot_low,macro_f1_cluster_boot_high,worst_recall_cluster_boot_low,worst_recall_cluster_boot_high
source_file,xgboost,0.9962756052141528,0.9963937199890768,0.9963919925512104,0.9963924244095538,0.996276037072496,0.9958100558659218,12,0.993320618120288,0.9991849070546848,0.9874301675977654,0.9962756052141528
cross_condition,random_forest,0.9760574620909817,0.9805284048871205,0.9790502793296088,0.97895598805946,0.9760161767412242,0.9166666666666666,42,0.9361603803233683,1.0,0.75,1.0
cross_load,random_forest,0.9890928438414472,0.9888625648449956,0.989292364990689,0.9890586349674548,0.9890887851566452,0.9795158286778398,42,0.981050394039853,0.9946421354502144,0.9497206703910616,0.9925512104283054
cross_rpm,random_forest,0.6983240223463687,0.8047903553939414,0.7634261106677308,0.6921477843756525,0.632636346560148,0.1098696461824953,28,0.646591842029033,0.7393447729532022,0.031657355679702,0.207324643078833
