prediction_file,aggregation,source_count,split_name,model,setting,seed,scalar_feature_count,setting_label,evidence_status,run_tag,sequence_length,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall
corrected_fusion_full_engineered_features_254_cross_rpm_seed46_predictions.csv,mean_probability,28,cross_rpm,MultisourceFusionNet,full_engineered_features_254,46,254.0,full_engineered_254,corrected_formal_train_only_zscore,,,0.4642857142857143,0.4711538461538461,0.4201388888888889,0.3358585858585858,0.3762626262626262,0.0
corrected_fusion_full_engineered_features_254_cross_rpm_seed46_predictions.csv,majority_vote,28,cross_rpm,MultisourceFusionNet,full_engineered_features_254,46,254.0,full_engineered_254,corrected_formal_train_only_zscore,,,0.4642857142857143,0.4711538461538461,0.4201388888888889,0.3358585858585858,0.3762626262626262,0.0
corrected_fusion_full_engineered_features_254_source_file_seed42_predictions.csv,mean_probability,12,source_file,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_engineered_features_254_source_file_seed42_predictions.csv,majority_vote,12,source_file,MultisourceFusionNet,full_engineered_features_254,42,254.0,full_engineered_254,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_engineered_features_254_source_file_seed43_predictions.csv,mean_probability,12,source_file,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_engineered_features_254_source_file_seed43_predictions.csv,majority_vote,12,source_file,MultisourceFusionNet,full_engineered_features_254,43,254.0,full_engineered_254,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_engineered_features_254_source_file_seed44_predictions.csv,mean_probability,12,source_file,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_engineered_features_254_source_file_seed44_predictions.csv,majority_vote,12,source_file,MultisourceFusionNet,full_engineered_features_254,44,254.0,full_engineered_254,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_cross_condition_seed42_predictions.csv,mean_probability,42,cross_condition,MultisourceFusionNet,full_multisource_fusion,42,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.9523809523809524,0.9599358974358976,0.9583333333333331,0.9582971014492754,0.9523395445134576,0.9166666666666666
corrected_fusion_full_multisource_fusion_cross_condition_seed42_predictions.csv,majority_vote,42,cross_condition,MultisourceFusionNet,full_multisource_fusion,42,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.9523809523809524,0.9599358974358976,0.9583333333333331,0.9582971014492754,0.9523395445134576,0.9166666666666666
corrected_fusion_full_multisource_fusion_cross_condition_seed43_predictions.csv,mean_probability,42,cross_condition,MultisourceFusionNet,full_multisource_fusion,43,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229812,0.9166666666666666
corrected_fusion_full_multisource_fusion_cross_condition_seed43_predictions.csv,majority_vote,42,cross_condition,MultisourceFusionNet,full_multisource_fusion,43,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229812,0.9166666666666666
corrected_fusion_full_multisource_fusion_cross_condition_seed44_predictions.csv,mean_probability,42,cross_condition,MultisourceFusionNet,full_multisource_fusion,44,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229812,0.9166666666666666
corrected_fusion_full_multisource_fusion_cross_condition_seed44_predictions.csv,majority_vote,42,cross_condition,MultisourceFusionNet,full_multisource_fusion,44,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.9761904761904762,0.9807692307692308,0.9791666666666666,0.9791304347826086,0.9761490683229812,0.9166666666666666
corrected_fusion_full_multisource_fusion_cross_load_seed42_predictions.csv,mean_probability,42,cross_load,MultisourceFusionNet,full_multisource_fusion,42,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_cross_load_seed42_predictions.csv,majority_vote,42,cross_load,MultisourceFusionNet,full_multisource_fusion,42,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_cross_load_seed43_predictions.csv,mean_probability,42,cross_load,MultisourceFusionNet,full_multisource_fusion,43,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_cross_load_seed43_predictions.csv,majority_vote,42,cross_load,MultisourceFusionNet,full_multisource_fusion,43,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_cross_load_seed44_predictions.csv,mean_probability,42,cross_load,MultisourceFusionNet,full_multisource_fusion,44,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_cross_load_seed44_predictions.csv,majority_vote,42,cross_load,MultisourceFusionNet,full_multisource_fusion,44,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed42_predictions.csv,mean_probability,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,42,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.6071428571428571,0.5538194444444444,0.5381944444444444,0.4951136363636363,0.5545941558441558,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed42_predictions.csv,majority_vote,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,42,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.6071428571428571,0.5538194444444444,0.5381944444444444,0.4951136363636363,0.5545941558441558,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed43_predictions.csv,mean_probability,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,43,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.5714285714285714,0.5740131578947368,0.5034722222222222,0.4317460317460317,0.4804988662131518,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed43_predictions.csv,majority_vote,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,43,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.5714285714285714,0.5740131578947368,0.5034722222222222,0.4317460317460317,0.4804988662131518,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed44_predictions.csv,mean_probability,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,44,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.4642857142857143,0.3607142857142857,0.4340277777777778,0.3689123376623376,0.4033511131725417,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed44_predictions.csv,majority_vote,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,44,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.4285714285714285,0.2952380952380952,0.40625,0.3257575757575757,0.3495670995670995,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed45_predictions.csv,mean_probability,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,45,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.3928571428571428,0.1927083333333333,0.3611111111111111,0.2474120082815735,0.274622892635315,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed45_predictions.csv,majority_vote,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,45,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.3928571428571428,0.1927083333333333,0.3611111111111111,0.2474120082815735,0.274622892635315,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed46_predictions.csv,mean_probability,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,46,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.5357142857142857,0.31875,0.4722222222222222,0.3712643678160919,0.4106732348111658,0.0
corrected_fusion_full_multisource_fusion_cross_rpm_seed46_predictions.csv,majority_vote,28,cross_rpm,MultisourceFusionNet,full_multisource_fusion,46,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,0.5357142857142857,0.31875,0.4722222222222222,0.3712643678160919,0.4106732348111658,0.0
corrected_fusion_full_multisource_fusion_source_file_seed42_predictions.csv,mean_probability,12,source_file,MultisourceFusionNet,full_multisource_fusion,42,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_source_file_seed42_predictions.csv,majority_vote,12,source_file,MultisourceFusionNet,full_multisource_fusion,42,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
corrected_fusion_full_multisource_fusion_source_file_seed43_predictions.csv,mean_probability,12,source_file,MultisourceFusionNet,full_multisource_fusion,43,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,,,1.0,1.0,1.0,1.0,1.0,1.0
