split_name,model,setting,run_tag,sequence_length,scalar_feature_count,setting_label,evidence_status,aggregation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,worst_class_recall_mean,worst_class_recall_std
cross_load,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,,,28.0,auxiliary_context_28,posthoc_exploratory_same_holdout,majority_vote,0.9682539682539684,0.0274928699614107,0.969036096753488,0.0271884707720968,0.9166666666666666,0.0833333333333332
cross_load,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,,,28.0,auxiliary_context_28,posthoc_exploratory_same_holdout,mean_probability,0.9682539682539684,0.0274928699614107,0.969036096753488,0.0271884707720968,0.9166666666666666,0.0833333333333332
cross_load,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,,,2.0,context_2,corrected_formal_train_only_zscore,majority_vote,0.8809523809523809,0.1448276792928147,0.8731984540040806,0.1655525450363453,0.6944444444444443,0.3154949081000152
cross_load,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load_only,,,2.0,context_2,corrected_formal_train_only_zscore,mean_probability,0.8968253968253969,0.1374643498070537,0.8958993663341488,0.1441604393209752,0.7777777777777777,0.2405626121623441
cross_load,cnn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.9365079365079364,0.0549857399228215,0.94004329004329,0.0520952999689543,0.8055555555555555,0.1734721666221778
cross_load,cnn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.9365079365079364,0.0363696483726653,0.9433080285254198,0.0329528509034463,0.7777777777777777,0.1272937693043289
cross_load,tcn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.753968253968254,0.0836162996258154,0.7288574600494105,0.080205836084132,0.3333333333333333,0.0833333333333333
cross_load,tcn,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.7698412698412698,0.0962250448649376,0.7498308717426365,0.0932054978001701,0.3888888888888889,0.1272937693043289
cross_load,transformer,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,majority_vote,0.9523809523809524,0.0629940788348712,0.9465020969368796,0.068272928067563,0.861111111111111,0.1734721666221777
cross_load,transformer,vib_current,length8192,8192.0,,vib_current,corrected_formal_train_only_zscore,mean_probability,0.9523809523809524,0.0629940788348712,0.9465020969368796,0.068272928067563,0.861111111111111,0.1734721666221777
cross_rpm,OrderNormalizedMultisourceFusionNet,full_engineered_features_254,,,254.0,full_engineered_254,corrected_formal_train_only_zscore,majority_vote,0.4928571428571429,0.1140622815905093,0.3663506444535856,0.1256585417005882,0.0,0.0
cross_rpm,OrderNormalizedMultisourceFusionNet,full_engineered_features_254,,,254.0,full_engineered_254,corrected_formal_train_only_zscore,mean_probability,0.4928571428571429,0.1140622815905093,0.3659882242650785,0.1253604570313624,0.0,0.0
cross_rpm,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,,,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,majority_vote,0.5071428571428571,0.0924441364681769,0.3742587239929819,0.0953442673062337,0.0,0.0
cross_rpm,OrderNormalizedMultisourceFusionNet,full_multisource_fusion,,,262.0,full_fusion_legacy_262,corrected_formal_train_only_zscore,mean_probability,0.5142857142857142,0.0860113898485163,0.3828896763739342,0.0917413115835534,0.0,0.0
cross_rpm,OrderNormalizedMultisourceFusionNet,vibration_current,,,0.0,no_scalars,corrected_formal_train_only_zscore,majority_vote,0.7285714285714285,0.1200552593855114,0.7129772464078898,0.1232676115588102,0.4,0.2053959590644373
cross_rpm,OrderNormalizedMultisourceFusionNet,vibration_current,,,0.0,no_scalars,corrected_formal_train_only_zscore,mean_probability,0.7285714285714285,0.1200552593855114,0.7121607832162752,0.1237569715679575,0.4,0.2053959590644373
cross_rpm,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,,,26.0,auxiliary_26,posthoc_exploratory_same_holdout,majority_vote,0.9428571428571428,0.031943828249997,0.9497689075630252,0.0281981637155278,0.8388888888888889,0.0691661088777151
cross_rpm,OrderNormalizedMultisourceFusionNet,vibration_current_auxiliary_only,,,26.0,auxiliary_26,posthoc_exploratory_same_holdout,mean_probability,0.9357142857142856,0.0298807152333598,0.9435189075630253,0.0263777215852953,0.836111111111111,0.0668977476599571
cross_rpm,OrderNormalizedMultisourceFusionNet,vibration_current_rpm_load,,,28.0,auxiliary_context_28,posthoc_exploratory_same_holdout,majority_vote,0.9285714285714286,0.0564692439315782,0.937094825109531,0.0507712761089072,0.8277777777777778,0.1438690462508728
